date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:10:09	182/182	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202018%2004:09:58%20GMT	http://weaintplastic.com/robots.txt		(from )
12:10:10	71410/71410	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202018%2004:10:09%20GMT	http://weaintplastic.com/	//Mac/Home/Desktop/Web/web234/weaintplastic.com/index.html	(from )
12:10:11	3609/3609	---M--	200	added ('OK')	image/png	etag:%225761df3-e19-51895180b0f1f%22	http://weaintplastic.com/assets/img/favicons/apple-icon-57x57.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-57x57.png	(from http://weaintplastic.com/)
12:10:11	3599/3599	---M--	200	added ('OK')	image/png	etag:%225761df4-e0f-51895180bda3f%22	http://weaintplastic.com/assets/img/favicons/apple-icon-60x60.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-60x60.png	(from http://weaintplastic.com/)
12:10:11	4192/4192	---M--	200	added ('OK')	image/png	etag:%225761df5-1060-51895180e3ba0%22	http://weaintplastic.com/assets/img/favicons/apple-icon-72x72.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-72x72.png	(from http://weaintplastic.com/)
12:10:12	4658/4658	---M--	200	added ('OK')	image/png	etag:%225761df6-1232-5189518120463%22	http://weaintplastic.com/assets/img/favicons/apple-icon-76x76.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-76x76.png	(from http://weaintplastic.com/)
12:10:12	6682/6682	---M--	200	added ('OK')	image/png	etag:%225761df7-1a1a-518951814e2c4%22	http://weaintplastic.com/assets/img/favicons/apple-icon-114x114.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-114x114.png	(from http://weaintplastic.com/)
12:10:12	6616/6616	---M--	200	added ('OK')	image/png	etag:%225761df8-19d8-5189518164a25%22	http://weaintplastic.com/assets/img/favicons/apple-icon-120x120.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-120x120.png	(from http://weaintplastic.com/)
12:10:13	7797/7797	---M--	200	added ('OK')	image/png	etag:%225761df9-1e75-518951818bb27%22	http://weaintplastic.com/assets/img/favicons/apple-icon-144x144.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-144x144.png	(from http://weaintplastic.com/)
12:10:24	9393/9393	---M--	200	added ('OK')	image/png	etag:%22576204b-24b1-51895181a5167%22	http://weaintplastic.com/assets/img/favicons/apple-icon-152x152.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-152x152.png	(from http://weaintplastic.com/)
12:10:26	11854/11854	---M--	200	added ('OK')	image/png	etag:%225762061-2e4e-51895181ea6ca%22	http://weaintplastic.com/assets/img/favicons/apple-icon-180x180.png	//Mac/Home/Desktop/Web/web234/weaintplastic.com/assets/img/favicons/apple-icon-180x180.png	(from http://weaintplastic.com/)
